,idProd
0,29824826
1,31825801
2,31825791
3,31825786
4,31825778
5,31825733
6,31825725
7,31825625
8,31825598
9,31825565
10,31825556
11,31825553
12,31825541
13,31825524
14,28882154
15,28882133
16,28882127
17,28882098
18,28882063
19,28882061
20,28882053
21,28882011
22,28882001
23,28881987
24,28882227
25,28881952
26,28885582
27,28885576
28,28885572
29,28885567
30,28885563
31,28885631
32,28885302
33,28885296
34,28885220
35,28885170
36,28885460
37,28885459
38,28885452
39,28885447
40,28885411
41,28885408
42,28896799
43,28896732
44,28896889
45,28896891
46,28896897
47,28896731
48,28896866
49,28896770
50,28896797
51,28896741
52,28896847
53,28896833
54,28896814
55,28896822
56,28896806
57,28896817
58,28896754
59,28896596
60,28896581
61,28896580
62,28896672
63,28896638
64,28896622
65,32194656
66,32194653
67,32194619
68,32194545
69,32194757
70,32194756
71,32194789
72,32194787
73,32194975
74,32194967
75,32194806
76,32194804
77,32194764
78,32194901
79,32194829
80,32194828
81,32194827
82,23224218
83,25116732
84,25116748
85,22375095
86,22375103
87,22375137
88,22375124
89,22375121
90,24766441
91,24766431
92,24766397
93,24766353
94,24766464
95,25909167
96,25909135
97,25909105
98,25909081
99,32585751
100,32585741
101,32585740
102,32585872
103,32585870
104,32585869
105,29799226
106,29799230
107,29799321
108,29799304
109,29799294
110,29799273
111,29799270
112,29799258
113,29799255
114,29799254
115,29799346
116,27431394
117,27432913
118,27432925
119,27432951
120,28180085
121,28180083
122,28180081
123,28180080
124,28180079
125,28180901
126,28180895
127,28180943
128,28181040
129,28181036
130,28180893
131,28180890
132,28180887
133,28181006
134,28180990
135,28180989
136,22698510
137,22698556
138,22698648
139,22698538
140,22698521
141,23970037
142,23970033
143,23970029
144,23970028
145,23970027
146,23970026
147,23970024
148,23970009
149,23970007
150,23970061
151,23970063
152,23970067
153,23970057
154,26295552
155,26295547
156,26295535
157,26295521
158,26295519
159,26295505
160,26295497
161,26295485
162,33145220
163,29172552
164,29172549
165,29172531
166,29172500
167,29172478
168,29178250
169,29178087
170,29178249
171,29178153
172,29178227
173,29210885
174,29211993
175,31474160
176,31474508
177,31474161
178,31474151
179,31474618
180,31474647
181,31474534
182,31474663
183,31474633
184,31474546
185,29104868
186,29104890
187,29104885
188,29107028
189,29107013
190,29106935
191,29106914
192,29107300
193,29107305
194,29107256
195,32379365
196,32379362
197,32382807
198,32382622
199,32382867
200,32382618
201,32382617
202,32382929
203,32382877
204,32382931
205,32382686
206,32382674
207,32382876
208,30598613
209,30598612
210,33174612
211,33174620
212,22832865
213,22832759
214,24610613
215,24610570
216,24610568
217,24610542
218,24610536
219,30334270
220,30335042
221,30335330
222,30335030
223,30335066
224,30335140
225,30335121
226,30335300
227,30335259
228,30335175
229,30335068
230,30335329
231,30335161
232,30335113
233,30335297
234,30335099
235,32065530
236,32065648
237,32065619
238,32065781
239,23915157
240,25328185
241,25328176
242,25328142
243,25328048
244,31158741
245,31158686
246,31158654
247,31158646
248,22374625
249,22374641
250,30309949
251,30310014
252,30309997
253,30371737
254,30371736
255,30371743
256,30371745
257,30372035
258,30371974
259,30372036
260,30372031
261,30371983
262,30372044
263,30371980
264,30372046
265,30379097
266,30379001
267,32729718
268,32729684
269,30418759
270,30418636
271,30418552
272,30418930
273,30418696
274,30418875
275,30418872
276,30418690
277,30418682
278,30418849
279,30418563
280,30418824
281,30418668
282,30418561
283,30418800
284,30418794
285,30418516
286,30572183
287,30572060
288,30572056
289,30572158
290,30571994
291,30571990
292,30572138
293,30572035
294,30572127
295,30572125
296,30572032
297,30571986
298,30572106
299,30572264
300,30572253
301,30572096
302,30572016
303,30572237
304,30572087
305,30572225
306,30572213
307,30572209
308,30572227
309,30572206
310,30572203
311,30572232
312,30557537
313,30557598
314,30557762
315,30557706
316,30557597
317,30557545
318,30557704
319,30557845
320,30557695
321,30557601
322,30557632
323,30557606
324,30557690
325,30557692
326,30557841
327,30557830
328,30557829
329,30557753
330,30557646
331,30557911
332,30557644
333,30557835
334,30557587
335,30557693
336,30557588
337,32610592
338,32610637
339,32610619
340,27074243
341,27074247
342,27074282
343,27074160
344,27074268
345,27074287
346,27074165
347,27074264
348,27074239
349,27074259
350,27074256
351,27074162
352,27074242
353,27074260
354,27074161
355,27074164
356,27074284
357,27074158
358,27074228
359,33081163
360,33081144
361,33081139
362,33081202
363,33081198
364,33081177
365,30856489
366,30856469
367,30856183
368,30856182
369,30856472
370,30856508
371,30856510
372,30856511
373,30856641
374,30856646
375,30856628
376,30856642
377,30856587
378,30856584
379,30856649
380,30859080
381,30859272
382,30859076
383,30859133
384,30859266
385,30859131
386,30859246
387,30859087
388,30861006
389,30860991
390,30861133
391,30861115
392,30860840
393,30860814
394,30860729
395,30860707
396,30860686
397,30860684
398,30860659
399,30860651
400,31525905
401,31526190
402,31526247
403,31526244
404,31526358
405,31526242
406,31526233
407,31526334
408,31526333
409,31526331
410,31526302
411,31526299
412,31526213
413,31526211
414,31526205
415,31526201
416,31526260
417,30725490
418,30725465
419,30725487
420,30725438
421,30725434
422,30724906
423,30724905
424,30725544
425,30725539
426,30725497
427,30725495
428,30725575
429,30725793
430,30725814
431,30725768
432,30725663
433,30725783
434,30725724
435,30725588
436,30725805
437,30725622
438,30725787
439,30725693
440,30725587
441,30729210
442,30729154
443,30729125
444,30729128
445,30729085
446,30729065
447,30729029
448,30729278
449,30729320
450,30729260
451,30735176
452,30735020
453,30735285
454,30735230
455,30735180
456,30735014
457,30735241
458,30734978
459,30735266
460,30734957
461,30735235
462,30735283
463,30735236
464,30735092
465,30735143
466,30735012
467,30734774
468,30734768
469,30734621
470,30734331
471,31726094
472,31725263
473,31726055
474,31725266
475,31726136
476,31726147
477,31726107
478,31726054
479,31726341
480,31726309
481,31726301
482,31726365
483,31726187
484,31726231
485,31726260
486,31726286
487,31726355
488,31726299
489,31726203
490,31726211
491,31726371
492,31726258
493,31726281
494,31726200
495,31726173
496,31726243
497,31726331
498,31726334
499,31726227
500,31726356
501,31726182
502,31726368
503,31726378
504,30579884
505,30579909
506,30579898
507,30579978
508,30579868
509,30580148
510,30580136
511,30579958
512,30579882
513,30579881
514,30580114
515,30580110
516,30579932
517,30579869
518,30579920
519,30580059
520,30580063
521,30579919
522,30579921
523,30580089
524,30579886
525,30580010
526,30580115
527,30579953
528,30579955
529,30052362
530,30052100
531,30052289
532,30052092
533,30052254
534,30052245
535,30052192
536,30052189
537,30052168
538,30052448
539,30052138
540,30052437
541,30052388
542,30052460
543,30052470
544,30052474
545,30052473
546,30052471
547,30053294
548,30053260
549,30053259
550,30053186
551,30053188
552,30053266
553,30053160
554,30053278
555,30053207
556,30053334
557,30053248
558,30053159
559,30053113
560,30053288
561,30053257
562,32829339
563,32829338
564,32829301
565,32829272
566,32829292
567,32829263
568,32829284
569,32829331
570,32829343
571,32829187
572,32829374
573,32829395
574,32829216
575,32828590
576,27820798
577,27820794
578,27820776
579,27820788
580,27820755
581,27820751
582,27820750
583,27820747
584,27820862
585,27820857
586,27820851
587,27820841
588,27820840
589,27820834
590,27820826
591,27820822
592,27820812
593,27820810
594,27820805
595,27875959
596,27875956
597,27876036
598,27876034
599,27876021
600,27876013
601,27876008
602,27875991
603,27875984
604,27876015
605,27875980
606,27875968
607,27875966
608,27876056
609,27876054
610,27876059
611,27876058
612,27876060
613,27876061
614,27941618
615,27941621
616,27941619
617,27942013
618,27942076
619,27942070
620,27942020
621,27941967
622,27941988
623,27942023
624,27942064
625,27942072
626,27941982
627,27942004
628,27942019
629,27941994
630,31681104
631,31681090
632,31681086
633,31681052
634,31681025
635,31681010
636,29226913
637,29226926
638,29226916
639,29228578
640,29228571
641,29228570
642,29228728
643,29228736
644,29228729
645,29228527
646,29228579
647,29228652
648,29228603
649,29228647
650,29228745
651,28667893
652,28667885
653,28667988
654,28667902
655,27241347
656,27241244
657,27241235
658,27241234
659,32613194
660,32613186
661,32613149
662,32613121
663,32613174
664,32612964
665,32612910
666,32612905
667,32613017
668,32613001
669,32612998
670,29622306
671,29622301
672,29623166
673,29623165
674,29623163
675,29623162
676,29623161
677,29623152
678,30598399
679,30598152
680,30764360
681,30764353
682,30764319
683,30764365
684,30764282
685,30764279
686,30764264
687,30764259
688,33214842
689,33214834
690,33214833
691,33214828
692,33214827
693,33214823
694,33214822
695,33214820
696,33214807
697,30341514
698,30354655
699,30354652
700,30354642
701,30354584
702,30354575
703,30434639
704,30434400
705,30434500
706,30434498
707,30434604
708,30434542
709,33069456
710,33069463
711,28680209
712,28680230
713,28680387
714,28680381
715,28680375
716,28680569
717,28680353
718,28680346
719,28680329
720,28680477
721,28680186
722,28751353
723,28751329
724,28751306
725,28751289
726,28751244
727,28751243
728,28751225
729,28751224
730,28751339
731,28751214
732,28751355
733,28751201
734,28751199
735,28751365
736,28753389
737,28753445
738,28753503
739,28753405
740,28753481
741,28753463
742,28753456
743,28753501
744,28753423
745,28753424
746,28753404
747,28753402
748,28753435
749,28753480
750,32086802
751,32086787
752,32086765
753,32086426
754,32086842
755,32086779
756,32086764
757,32086776
758,32086830
759,32086423
760,32086841
761,32086854
762,32086832
763,32086796
764,32086855
765,32086777
766,32086751
767,32086774
768,32086757
769,32086750
770,32086836
771,32086847
772,29558267
773,29561407
774,30889425
775,30889415
776,30889411
777,30889403
778,30889393
779,30889383
780,30889381
781,30889378
782,30889388
783,30889416
784,30889450
785,30889493
786,30889475
787,30889467
788,30889449
789,30889448
790,30889444
791,30889630
792,30889632
793,30889631
794,30889628
795,30889600
796,30889578
797,30889538
798,30889531
799,30889604
800,30889596
801,30889504
802,30891824
803,30891820
804,30891816
805,30891597
806,30891704
807,30891690
808,30891671
809,30891664
810,30891659
811,30891643
812,30891642
813,30891639
814,30891859
815,30891887
816,30892007
817,30896882
818,30896875
819,30896788
820,30896729
821,30896726
822,32037526
823,32037516
824,32037460
825,32037612
826,32037604
827,32037578
828,28524045
829,32638560
830,32638556
831,28966210
832,28966132
833,29422466
834,29990568
835,29990534
836,29990525
837,29990524
838,29990519
839,29990496
840,29990535
841,29990494
842,29990491
843,29990485
844,29990482
845,29990477
846,29990581
847,29985121
848,29985212
849,29985262
850,29985050
851,29985275
852,29985285
853,29985272
854,29985271
855,29985268
856,29975742
857,29975781
858,29975779
859,29975754
860,29975751
861,29975749
862,29975735
863,29975728
864,29975726
865,29975719
866,29975837
867,29975838
868,29975827
869,29975834
870,29975821
871,32772724
872,32772745
873,32772796
874,32772780
875,28022005
876,28022566
877,28022421
878,28022486
879,28022448
880,28022558
881,28022447
882,28022556
883,28022488
884,28022527
885,28022555
886,28022542
887,28022483
888,28104901
889,28104804
890,28104779
891,28104590
892,28104729
893,28104719
894,28104599
895,28104981
896,28104977
897,28104628
898,28104946
899,28104927
900,28104990
901,28104539
902,28105003
903,28129425
904,28130015
905,28130000
906,28129998
907,28129996
908,28129992
909,28129988
910,28129983
911,28129978
912,28129973
913,28129986
914,28129962
915,28129956
916,28129954
917,28129952
918,28129951
919,28130006
920,28129947
921,28130010
922,28129940
923,28129935
924,28129932
925,28129931
926,28129928
927,28129927
928,28130101
929,28130094
930,28130085
931,28130064
932,28130063
933,28130061
934,28130086
935,28130049
936,28130048
937,28130047
938,28130039
939,28130030
940,28130119
941,32109386
942,32109384
943,32109378
944,32109374
945,32109412
946,32109368
947,32109356
948,32109397
949,32109364
950,32109361
951,32109497
952,32109360
953,32109482
954,32109480
955,32109479
956,32109471
957,32109468
958,32109478
959,32109451
960,32109494
961,32109439
962,32109433
963,32109432
964,32109445
965,32109420
966,32109416
967,22490082
968,22489959
969,22490067
970,22490047
971,22490041
972,22489980
973,22489982
974,23647542
975,25811573
976,22479416
977,22479305
978,22479421
979,24386241
980,24388913
981,24388933
982,24388699
983,24388694
984,24388693
985,24388688
986,24388680
987,24388800
988,24388799
989,24388797
990,26056183
991,26056342
992,26056354
993,26056353
994,31417956
995,31417933
996,31417934
997,31417818
998,31417789
999,31417841
1000,31417661
1001,31417760
1002,31417759
1003,31417757
1004,31417689
1005,31417990
1006,31417727
1007,31417995
1008,29066330
1009,29066269
1010,29066494
1011,29066562
1012,29067638
1013,32602237
1014,32604531
1015,32604676
1016,29817267
1017,29817265
1018,29817253
1019,29817239
1020,29817238
1021,29817235
1022,29832631
1023,29832650
1024,29832670
1025,29837848
1026,29837845
1027,29837904
1028,29837895
1029,31503142
1030,31503138
1031,31503134
1032,31503129
1033,31502919
1034,31503126
1035,31503127
1036,31503128
1037,31503121
1038,31502922
1039,31503116
1040,31503115
1041,31503144
1042,31503113
1043,31503112
1044,31503111
1045,31502923
1046,31503110
1047,31503108
1048,31503152
1049,31503153
1050,31503151
1051,31503172
1052,31503171
1053,31503170
1054,31503179
1055,31503165
1056,31503164
1057,31503181
1058,31503162
1059,31503161
1060,31503158
1061,31503155
1062,28310733
1063,28310607
1064,28310690
1065,28310294
1066,28310292
1067,28356466
1068,28356462
1069,28356502
1070,28356553
1071,28356623
1072,28356613
1073,28368752
1074,28368742
1075,28368731
1076,28368829
1077,28368797
1078,28368779
1079,28368924
1080,28368919
1081,28368915
1082,32658007
1083,32658152
1084,32658253
1085,32658075
1086,32658218
1087,32658209
1088,32658194
1089,32658191
1090,32658107
1091,32658186
1092,32658324
1093,32658172
1094,32658312
1095,32658288
1096,32658092
1097,28233880
1098,28234166
1099,28234137
1100,28234120
1101,28234775
1102,29357685
1103,29357655
1104,29357843
1105,29357519
1106,29357915
1107,29357939
1108,29357971
1109,29357745
1110,29357537
1111,29357539
1112,29357814
1113,29357564
1114,29357668
1115,29357888
1116,29357522
1117,29357938
1118,29365899
1119,29365882
1120,29365881
1121,29366676
1122,29366383
1123,29366118
1124,29366339
1125,29366355
1126,29374207
1127,29374160
1128,29374128
1129,29374119
1130,29374071
1131,29374068
1132,29374066
1133,29374065
1134,29374056
1135,29374047
1136,29373926
1137,29373920
1138,29374367
1139,29374414
1140,29374413
1141,29374412
1142,29374491
1143,29374483
1144,29374476
1145,29374333
1146,29374386
1147,29374384
1148,32054343
1149,32054403
1150,32054647
1151,32054344
1152,32054575
1153,32054610
1154,32054650
1155,32054376
1156,32054692
1157,32054292
1158,29103569
1159,29103537
1160,29103687
1161,29146792
1162,29146780
1163,29146863
1164,29146839
1165,29146812
1166,29146805
1167,32672394
1168,32672368
1169,32672367
1170,32672365
1171,32672364
1172,32672360
1173,32672347
1174,32672333
1175,28671622
1176,28671618
1177,28671615
1178,28671606
1179,28671601
1180,28671597
1181,28671587
1182,28671567
1183,28671744
1184,28671557
1185,28671720
1186,28671717
1187,28671536
1188,28671526
1189,28671678
1190,28671674
1191,28671522
1192,28671671
1193,28671668
1194,28671643
1195,28671640
1196,28671638
1197,28671636
1198,28671520
1199,28671630
1200,29965103
1201,29965102
1202,29965061
1203,29965004
1204,29964804
1205,29965043
1206,29965107
1207,29965012
1208,29965038
1209,29965037
1210,29965033
1211,29965025
1212,29965020
1213,29965023
1214,29965022
1215,29965019
1216,29965015
1217,29964803
1218,29964801
1219,29965007
1220,29965005
1221,29964992
1222,29965034
1223,29965035
1224,29965048
1225,29965051
1226,29965052
1227,29965059
1228,29965064
1229,29965080
1230,29965090
1231,29965094
1232,29965100
1233,29965114
1234,29966584
1235,29966599
1236,29966587
1237,29966621
1238,29966630
1239,29966622
1240,29966614
1241,29966646
1242,29966612
1243,29966607
1244,29966609
1245,32993620
1246,32994616
1247,32994614
1248,30571077
1249,30571035
1250,30571028
1251,30570899
1252,30571005
1253,30570968
1254,30570616
1255,30570585
1256,30570580
1257,30570577
1258,30570573
1259,30570529
1260,30570688
1261,30570661
1262,30637372
1263,31698807
1264,31698806
1265,31698797
1266,31698742
1267,31698800
1268,31698759
1269,23327462
1270,23327410
1271,23327395
1272,23851595
1273,23853577
1274,23853620
1275,23853611
1276,23853569
1277,23853548
1278,23853623
1279,23853675
1280,23853626
1281,23853553
1282,23853540
1283,23851597
1284,23853627
1285,23851596
1286,23853674
1287,23853684
1288,23853647
1289,23853682
1290,23853670
1291,23853648
1292,23853640
1293,23853580
1294,23853538
1295,23851598
1296,23851590
1297,23853575
1298,23853642
1299,25657458
1300,25657420
1301,25657425
1302,25657395
1303,25657414
1304,25657423
1305,25657390
1306,25657448
1307,25657460
1308,25657367
1309,25657361
1310,25657362
1311,25657350
1312,25657389
1313,25657472
1314,25657346
1315,25657339
1316,25657467
1317,31606836
1318,31606792
1319,31606790
1320,31606940
1321,31606927
1322,31606885
1323,30993718
1324,30993689
1325,30993613
1326,33131955
1327,33132190
1328,33132097
1329,33131887
1330,33131876
1331,22677349
1332,22677118
